,lat,lng,title,rating,coordinate
100,35.7121,139.7074,成城石井 高田馬場 Seijo Ishii Takadanobaba,4.7,"(35.7121, 139.7074)"
109,35.7129,139.7048,蒙古タンメン中本 高田馬場店 Moukotanmen Nakamoto Takadanobaba,,"(35.7129, 139.7048)"
131,35.7147,139.7029,香港／台湾発かけご飯専門店【マスター・ルー】Rice Bowl flagship shop【Master.Lu】,4.8,"(35.7147, 139.7029)"
144,35.7119,139.7084,マショマショ Masyo Masyo,,"(35.7119, 139.7084)"
151,35.7304,139.7137,七宝麻辣湯 池袋東口店（チーパオ マーラータン）,4.6,"(35.7304, 139.7137)"
152,35.7122,139.6996,つけ蕎麦 安土 高田馬場本店 Tsukesoba Aduchi,,"(35.7122, 139.6996)"
14,35.6964,139.7002,Hawaiian ロコモコ&パンケーキ専門店 holehole café&diner 新宿店,4.3,"(35.6964, 139.7002)"
24,35.6942,139.7006,マクドナルド 西武新宿駅前店 McDonald's Seibu-Shinjuku,4.6,"(35.6942, 139.7006)"
35,35.6934,139.7011,究極のブロッコリーと鶏胸肉 新宿店 The ultimate broccoli & chicken breast Shinjuku,4.7,"(35.6934, 139.7011)"
36,35.6952,139.7018,スパイスカレーライスSOLAH SPICE TOKYO新宿東宝店,4.5,"(35.6952, 139.7018)"
40,35.7017,139.6963,カレーハウス CoCo壱番屋 JR 大久保駅北口店 Curry House CoCo Ichibanya JR Okubo Station North-exit,4.7,"(35.7017, 139.6963)"
69,35.7142,139.6916,バナナジュース専門店 BANANA LAB 上落合店 BANANA LAB Kamiochiai,4.7,"(35.7142, 139.6916)"
117,35.7017,139.6982,から好し 大久保店 Karayoshi Okubo,4.7,"(35.7017, 139.6982)"
125,35.6963,139.7007,ゴーゴーカレー 歌舞伎町スタジアム GoGoCurry KABUKICHO STADIUM,4.6,"(35.6963, 139.7007)"
136,35.7096,139.6651,伝説のすた丼屋 中野店 Densetsu no Sutadonya Nakano,4.6,"(35.7096, 139.6651)"
148,35.6925,139.7022,クレープ カヴォー アン ドゥ トロワ CREPE Caveau un deux trois,4.6,"(35.6925, 139.7022)"
40,35.705,139.7089,マクドナルド 明治通り新宿ステパ店 McDonald's MEIJI-DORI SHINJUKU STEPA,4.7,"(35.705, 139.7089)"
142,35.7017,139.6999,川覇王（本格四川料理）CHUAN BA WANG,,"(35.7017, 139.6999)"
60,35.6973,139.7345,青柳総本家,,"(35.6973, 139.7345)"
70,35.6919,139.7263,ローソン 新宿坂町店 Lawson Shinjuku Sakamachi,4.8,"(35.6919, 139.7263)"
72,35.6764,139.7367,板前寿司 赤坂店 ITAMAE SUSHI AKASAKA,4.5,"(35.6764, 139.7367)"
77,35.7085,139.7316,フレッシュネスバーガー 江戸川橋店 Freshness Burger Edogawabashi,4.7,"(35.7085, 139.7316)"
106,35.7085,139.7316,フレッシュネスバーガー 江戸川橋店 Freshness Burger Edogawabashi,4.7,"(35.7085, 139.7316)"
111,35.7058,139.7221,すき家 早稲田南店 Sukiya Waseda Minami,4.6,"(35.7058, 139.7221)"
116,35.691,139.7145,渋谷カオマンガイ 新宿店shibuya khaomankai  shinjuku,4.3,"(35.691, 139.7145)"
155,35.6988,139.7652,銀座アスターお茶の水賓館 Ginza Aster Ochanomizu,,"(35.6988, 139.7652)"
14,35.7026,139.7377,やみつきスタミナ丼 LePavè Sutadon LePavè,,"(35.7026, 139.7377)"
35,35.6772,139.7363,大戸屋ごはん処 赤坂見附店 Ootoya Gohan-Dokoro Akasakamitsuke,4.5,"(35.6772, 139.7363)"
72,35.6992,139.7443,スターバックス コーヒー 飯田橋サクラテラス店 Starbucks Iidabashi Sakura Terrace,4.5,"(35.6992, 139.7443)"
105,35.6895,139.7104,ラジャヴェッタ 新宿店 Raja Vetta,4.4,"(35.6895, 139.7104)"
53,35.6992,139.7443,スターバックス コーヒー 飯田橋サクラテラス店 Starbucks Iidabashi Sakura Terrace,4.5,"(35.6992, 139.7443)"
60,35.7024,139.7328,究極のブロッコリーと鶏胸肉 神楽坂店 The ultimate broccoli & chicken breast Kagurazaka,4.7,"(35.7024, 139.7328)"
48,35.7017,139.7426,スターバックス コーヒー 飯田橋軽子坂店 Starbucks Iidabashi Karukozaka,4.8,"(35.7017, 139.7426)"
66,35.7004,139.7334,タリーズコーヒー 神楽坂,4.8,"(35.7004, 139.7334)"
108,35.7004,139.7334,タリーズコーヒー 神楽坂,4.8,"(35.7004, 139.7334)"
21,35.6958,139.7387,香港華記茶餐廳 新宿本店 Hong Kong WAUKI ,,"(35.6958, 139.7387)"
23,35.6988,139.7652,銀座アスターお茶の水賓館 Ginza Aster Ochanomizu,,"(35.6988, 139.7652)"
47,35.7016,139.7454,牛タン圭助 飯田橋 Gyutan Keisuke IIDABASHI,4.5,"(35.7016, 139.7454)"
23,35.7026,139.7372,カウマンステーキクラブ COWMAN STEAK CLUB,,"(35.7026, 139.7372)"
8,35.7076,139.7292,ドミノ・ピザ 江戸川橋店 Domino's Pizza Edogawabashi Store,4.7,"(35.7076, 139.7292)"
9,35.7137,139.705,大戸屋ごはん処 高田馬場駅前店 Ootoya Takadanobaba Station,4.6,"(35.7137, 139.705)"
54,35.7089,139.7335,ネギトロ一本勝負 江戸川橋店 Negitoro Ipponsyobu in Edogawabashi,4.5,"(35.7089, 139.7335)"
58,35.6998,139.7331,hotdog stand homeys,4.4,"(35.6998, 139.7331)"
82,35.7017,139.7426,スターバックス コーヒー 飯田橋軽子坂店 Starbucks Iidabashi Karukozaka,4.8,"(35.7017, 139.7426)"
95,35.6931,139.7213,the 3rd Burger 曙橋店 the 3rd Burger Akebonobashi,4.7,"(35.6931, 139.7213)"
148,35.7103,139.7125,一風堂 高田馬場店 IPPUDO Ramen,4.6,"(35.7103, 139.7125)"
17,35.6877,139.7234,スターバックス コーヒー 四谷３丁目店 Starbucks Coffee Yotsuya 3-chome,4.7,"(35.6877, 139.7234)"
139,35.713,139.7064,楊銘宇黄燜鶏米飯 高田馬場店 Youmeiuhommenjimifan,,"(35.713, 139.7064)"
148,35.7055,139.7234,恵比寿ブタメン早稲田店,4.5,"(35.7055, 139.7234)"
30,35.7121,139.7078,叫了個炸鶏J.CHICKEN 高田馬場,,"(35.7121, 139.7078)"
37,35.6911,139.7356,スターバックス コーヒー 市ヶ谷駅前店 Starbucks Coffee Ichigaya Eki-mae,4.8,"(35.6911, 139.7356)"
72,35.6911,139.7356,スターバックス コーヒー 市ヶ谷駅前店 Starbucks Coffee Ichigaya Eki-mae,4.8,"(35.6911, 139.7356)"
124,35.7097,139.7207,タピオカ専門店 茶鮮生 Tapioka Speciality Store 茶鮮生,,"(35.7097, 139.7207)"
30,35.7024,139.7329,低糖質グリル食堂　神楽坂店 Low carb Grill Restaurant,4.8,"(35.7024, 139.7329)"
38,35.7019,139.7386,アジアンタワン神楽坂店 Asian Tawan Kagurazaka,,"(35.7019, 139.7386)"
63,35.7077,139.7314,ローソン 新宿山吹町,4.9,"(35.7077, 139.7314)"
81,35.7007,139.7474,焼肉ライク 飯田橋,4.8,"(35.7007, 139.7474)"
83,35.7089,139.7335,ネギトロ一本勝負 江戸川橋店 Negitoro Ipponsyobu in Edogawabashi,4.5,"(35.7089, 139.7335)"
91,35.7017,139.7388,カラダにやさしいたっぷり野菜のごちそうサラダ byKOKORI,,"(35.7017, 139.7388)"
108,35.7063,139.732,【低糖質カオマンガイ食堂】たんぱくたんぱく,,"(35.7063, 139.732)"
116,35.7007,139.7415,山下本気うどん 神楽坂 Yamashitahonkiudon Kagurazaka,4.5,"(35.7007, 139.7415)"
129,35.7008,139.7438,66カフェ 飯田橋店 66Cafe Iidabashi,4.7,"(35.7008, 139.7438)"
140,35.6887,139.7092,糖水堂 新宿御苑前店 Tousuido Shinjukugyoenmae,,"(35.6887, 139.7092)"
144,35.7007,139.7425,ドトールコーヒーショップ飯田橋神楽坂店,,"(35.7007, 139.7425)"
145,35.7116,139.7041,ゴンチャ 高田馬場店 Gong Cha Takadanobaba,4.8,"(35.7116, 139.7041)"
146,35.7063,139.732,タコライスベイビー 神楽坂 Taco Rice Baby,,"(35.7063, 139.732)"
50,35.7063,139.732,焼きたてワッフル専門店　ワッフルベアー神楽坂,4.2,"(35.7063, 139.732)"
127,35.7061,139.7206,アンモナイトコーヒーマーケット早稲田店 AMMONITE COFFEE MARKET waseda,,"(35.7061, 139.7206)"
13,35.7217,139.7521,【韓国料理専門】金福  白山駅前店［Korean Food］,4.4,"(35.7217, 139.7521)"
89,35.7011,139.744,ウェンディーズ・ファーストキッチン 飯田橋ラムラ店 Wendy's First Kitchen IIDABASHI RAMURA,4.5,"(35.7011, 139.744)"
34,35.7308,139.7281,大戸屋ごはん処 大塚南口店 Ootoya Otsukaminamiguchi,4.6,"(35.7308, 139.7281)"
70,35.7097,139.7314,カレーハウス CoCo壱番屋 東京メトロ江戸川橋駅前 Curry House CoCo Ichibanya Tokyometro Edogawabashi Station,4.6,"(35.7097, 139.7314)"
28,35.7083,139.7327,ピザハット 江戸川橋 Pizza Hut EDOGAWABASHI,4.7,"(35.7083, 139.7327)"
74,35.7083,139.7327,ピザハット 江戸川橋 Pizza Hut EDOGAWABASHI,4.7,"(35.7083, 139.7327)"
7,35.7089,139.7335,東京からあげ専門店あげたて江戸川橋店＠ゴエモンTokyo Karaagesenmonten　Agetate　Edogawabashi@goemon,4.4,"(35.7089, 139.7335)"
53,35.7063,139.732,伝説のジャークチキンのお店 カフェアンドバーキャンプファイヤー,4.6,"(35.7063, 139.732)"
20,35.706,139.7195,マクドナルド 早稲田駅前店 McDonald's Waseda,4.7,"(35.706, 139.7195)"
26,35.7097,139.7314,カレーハウス CoCo壱番屋 東京メトロ江戸川橋駅前 Curry House CoCo Ichibanya Tokyometro Edogawabashi Station,4.6,"(35.7097, 139.7314)"
38,35.7205,139.7394,ALL DAY HOME 茗荷谷店,,"(35.7205, 139.7394)"
71,35.706,139.7195,マクドナルド 早稲田駅前店 McDonald's Waseda,4.7,"(35.706, 139.7195)"
131,35.7291,139.7153,カラシビ味噌らー麺　鬼金棒　池袋店,,"(35.7291, 139.7153)"
136,35.733,139.7278,ラーメン豚山大塚店 RamenBUTAYAMA Otsuka,4.5,"(35.733, 139.7278)"
144,35.7063,139.732,ヘルシー＆パワーサラダ  サラダ大学 神楽坂,,"(35.7063, 139.732)"
48,35.7265,139.7123,サブウェイ 南池袋あずま通り店 SUBWAY Minami Ikebukuro Azuma-Dori,4.8,"(35.7265, 139.7123)"
147,35.7008,139.7433,鮨處八千代 飯田橋店 Sushidokoro YACHIYO Iidabashiten,,"(35.7008, 139.7433)"
149,35.7265,139.7123,サブウェイ 南池袋あずま通り店 SUBWAY Minami Ikebukuro Azuma-Dori,4.8,"(35.7265, 139.7123)"
29,35.7297,139.7133,デニーズ 池袋駅前 Denny's IKEBUKUROEKIMAE,4.7,"(35.7297, 139.7133)"
38,35.7101,139.74,沖縄料理 護佐丸 Okinawa Restaurant Gosamaru,,"(35.7101, 139.74)"
50,35.7286,139.7174,あん処＆Co.,4.8,"(35.7286, 139.7174)"
71,35.7068,139.743,ローソン 新小川町,4.9,"(35.7068, 139.743)"
126,35.7068,139.743,ローソン 新小川町,4.9,"(35.7068, 139.743)"
128,35.7294,139.7148,蒙古タンメン中本 東池袋店 Moukotanmen Nakamoto Higashiikebukuro,4.6,"(35.7294, 139.7148)"
143,35.737,139.7462,インド定食 ターリー屋 駒込店 Indian Restaurant Thaliya Komagome,,"(35.737, 139.7462)"
147,35.7297,139.7162,横浜家系ラーメン 豊島家 YOKOHAMA IEKEI RAMEN Toshimaya,4.7,"(35.7297, 139.7162)"
63,35.7294,139.7089,鶏あえずタンパク 池袋南口店 Chicken & Protein,,"(35.7294, 139.7089)"
64,35.7061,139.7407,ローソン 新宿新小川町,4.8,"(35.7061, 139.7407)"
116,35.7186,139.728,吉野家 護国寺店  Yoshinoya GOKOKUJI,4.6,"(35.7186, 139.728)"
131,35.7298,139.7097,MeetFresh鮮芋仙　エソラ池袋店,,"(35.7298, 139.7097)"
139,35.7304,139.7283,銀だこ酒場 大塚南口店 Gindaco  Sakaba Otsuka Minamiguchi,4.6,"(35.7304, 139.7283)"
147,35.7299,139.7164,KOI Thé サンシャインシティアルパ店,,"(35.7299, 139.7164)"
13,35.715,139.7155,1個約100g！こぶし大の肉汁大判から揚げ丼 KOBUSHI 高田馬場,4.6,"(35.715, 139.7155)"
112,35.7305,139.7139,はなまるうどん 池袋サンシャイン通り店 Hanamaru Udon IKEBUKURO SUNSHINEDORI,4.7,"(35.7305, 139.7139)"
131,35.7081,139.7242,ハイファイブサラダ早稲田店  HIGHFIVE　SALAD Waseda　,,"(35.7081, 139.7242)"
141,35.7106,139.712,タイ料理 ティーヌン 西早稲田 Thai Food TINUN Nishiwaseda,,"(35.7106, 139.712)"
102,35.7321,139.7192,タコライス専門店 KING CAFE 池袋店,,"(35.7321, 139.7192)"
71,35.7004,139.7425,スターバックス コーヒー 神楽坂下店 Starbucks Coffee Kagurazakashita,4.8,"(35.7004, 139.7425)"
122,35.7118,139.7743,いきなり！ステーキ UENO3153店 Ikinari Steak UENO 3153,4.5,"(35.7118, 139.7743)"
130,35.7105,139.719,インド定食 ターリー屋 西早稲田店  Indian Restaurant Thaliya Nishi-Waseda,,"(35.7105, 139.719)"
54,35.7161,139.7663,SLOW GELATO in bulk,,"(35.7161, 139.7663)"
48,35.6928,139.7247,元祖豚丼屋TONTON 曙橋店  pork bowl,,"(35.6928, 139.7247)"
51,35.7058,139.7221,すき家 早稲田南店 Sukiya Waseda Minami,4.6,"(35.7058, 139.7221)"
28,35.7292,139.7133,フォンデュチーズハンバーグと飲めるチーズケーキ「CheeseTable」池袋店,4.6,"(35.7292, 139.7133)"
70,35.7151,139.7292,ローソン 文京音羽一丁目,4.7,"(35.7151, 139.7292)"
99,35.7312,139.7095,かつや 池袋西口店 Katsuya IKEBUKURO NISHI,4.5,"(35.7312, 139.7095)"
128,35.7077,139.7307,からあげ専門店　鶏笑 山吹神楽坂店(最高金賞) torisyou yamabukikagurazakaten　,,"(35.7077, 139.7307)"
130,35.7151,139.7292,ローソン 文京音羽一丁目,4.7,"(35.7151, 139.7292)"
131,35.7297,139.7178,クアアイナ池袋サンシャインシティ店,4.7,"(35.7297, 139.7178)"
11,35.732,139.7192,東京角煮 KING PORK 池袋店 Tokyo Kakuni KING PORK Ikebukuro,4.5,"(35.732, 139.7192)"
142,35.7276,139.7296,ほっともっと 豊島南大塚店,4.5,"(35.7276, 139.7296)"
13,35.7097,139.7207,タピオカ専門店 茶鮮生 Tapioka Speciality Store 茶鮮生,,"(35.7097, 139.7207)"
54,35.7292,139.7123,Pearl Lady 池袋店  Pearl Lady Ikebukuro,4.5,"(35.7292, 139.7123)"
121,35.7292,139.7123,Pearl Lady 池袋店  Pearl Lady Ikebukuro,4.5,"(35.7292, 139.7123)"
146,35.6983,139.7018,カリフォルニアンポキ 新宿店 Californian Poke sinjyukuten,,"(35.6983, 139.7018)"
148,35.7157,139.7104,マシッソチキン＆トッポッキ,,"(35.7157, 139.7104)"
11,35.7106,139.712,豚汁と米 高田馬場店 Pork soup and rice,4.5,"(35.7106, 139.712)"
52,35.7085,139.717,Café 17/F,,"(35.7085, 139.717)"
144,35.7123,139.7073,悠茶 高田馬場店 Yuucha Takadanobaba Store,,"(35.7123, 139.7073)"
14,35.7105,139.7096,Empire Kebab エンパイアーケバブ,4.6,"(35.7105, 139.7096)"
18,35.7107,139.7117,カレーハウス CoCo壱番屋 新宿早稲田通 Curry House CoCo Ichibanya Shinjuku Wasedatori,4.7,"(35.7107, 139.7117)"
21,35.713,139.7052,から好し 高田馬場駅前店 Karayoshi Takadanobaba Ekimae,,"(35.713, 139.7052)"
48,35.71,139.7141,丼丸 西早稲田 Donmaru Nisiwaseda,,"(35.71, 139.7141)"
49,35.7081,139.7242,ハイファイブサラダ早稲田店  HIGHFIVE　SALAD Waseda　,,"(35.7081, 139.7242)"
51,35.706,139.7193,モスバーガー 早稲田店 Mos Burger WASEDA,4.7,"(35.706, 139.7193)"
78,35.7061,139.7202,ローソン 新宿馬場下町,4.9,"(35.7061, 139.7202)"
80,35.7121,139.6996,ケンタッキーフライドチキン高田馬場四丁目店,4.6,"(35.7121, 139.6996)"
83,35.7061,139.7202,ローソン 新宿馬場下町,4.9,"(35.7061, 139.7202)"
141,35.7133,139.7048,だし茶漬け えん 高田馬場メトロピア店 Dashichazuke EN Takadanobaba Metro Pia,4.7,"(35.7133, 139.7048)"
158,35.7146,139.7034,しゃぶしゃぶ温野菜 高田馬場店 Shabushabu Onyasai Takadanobaba,,"(35.7146, 139.7034)"
56,35.6973,139.7345,熟成ハラミステーキ ルート3 Mature Harami Steak Route3,4.2,"(35.6973, 139.7345)"
59,35.7216,139.7521,【韓国チキン専門】金福白山駅前店,4.6,"(35.7216, 139.7521)"
60,35.7329,139.7171,【韓国チキン専門】金福池袋店,,"(35.7329, 139.7171)"
61,35.7333,139.7297,揚げたて唐揚げかしわ大塚店,4.2,"(35.7333, 139.7297)"
62,35.6974,139.7345,牛とスープの東大門市場　神楽坂店,4.4,"(35.6974, 139.7345)"
140,35.7165,139.7289,大島ラーメン 護国寺店 Oshimaramen Gokokuji,4.6,"(35.7165, 139.7289)"
145,35.733,139.7155,俺流塩らーめん 池袋明治通り店,4.6,"(35.733, 139.7155)"
15,35.7176,139.7364,から好し 茗荷谷駅前店 Karayoshi Myogadani Ekimae,,"(35.7176, 139.7364)"
27,35.7321,139.7192,タコライス専門店 KING CAFE 池袋店,,"(35.7321, 139.7192)"
75,35.7334,139.7114,肉屋のハンバーグとガーリックライス 池袋北口,4.6,"(35.7334, 139.7114)"
115,35.7303,139.7135,ゴーゴーカレー 池袋サンシャイン中央通りスタジアム GoGoCurry IKEBUKURO SUNSHINE CHUO STADIUM,4.5,"(35.7303, 139.7135)"
116,35.7329,139.7114,四季香新館 Shikikou,,"(35.7329, 139.7114)"
118,35.7321,139.7074,中華西北料理 薩斐蘭州牛肉麺 池袋本店 Safei,,"(35.7321, 139.7074)"
119,35.7317,139.7101,東京油組総本店 池袋組 ToKyo Aburagumi Souhonten Ikebukuro shop,4.6,"(35.7317, 139.7101)"
148,35.7138,139.705,石庫門 高田馬場店 Sekkomon Takadanobaba,4.8,"(35.7138, 139.705)"
4,35.7135,139.7049,牛たん とろろ 麦めし ねぎし 高田馬場駅前店 Negishi Takadanobaba Station,,"(35.7135, 139.7049)"
24,35.7225,139.7046,ケンタッキーフライドチキン 目白店 Kentucky Fried Chicken Mejiro,4.7,"(35.7225, 139.7046)"
31,35.7218,139.7059,大戸屋ごはん処 目白店 Ootoya Mejiro,4.7,"(35.7218, 139.7059)"
37,35.7221,139.7051,から好し 目白駅前店 Karayoshi Mejiro Ekimae,,"(35.7221, 139.7051)"
82,35.7135,139.7049,牛たん とろろ 麦めし ねぎし 高田馬場駅前店 Negishi Takadanobaba Station,,"(35.7135, 139.7049)"
50,35.7015,139.7019,33トッポギ チーズハッドグ 新大久保店 33Toppogi Cheese Hot Dog Shinookubo Store,4.6,"(35.7015, 139.7019)"
52,35.7009,139.7073,一芳台湾水果茶 新大久保店 Yifang Taiwan Fruit Tea Shinookubo,,"(35.7009, 139.7073)"
7,35.7015,139.7088,『ミルフィーユカツ専門店』キムカツ 新宿,4.8,"(35.7015, 139.7088)"
14,35.6934,139.7012,韓国風旨辛最高＃ヤンニョムチキン。＠新宿テラス,4.1,"(35.6934, 139.7012)"
22,35.7134,139.7022,から好し 高田馬場西口店 Karayoshi Takadanobaba Nishiguchi,,"(35.7134, 139.7022)"
134,35.7012,139.7024,ホシギ2羽チキン3号店 HOSHIGI 2WA CHICKIN 3RD,,"(35.7012, 139.7024)"
140,35.7013,139.7042,市場タッカルビ アンド ビビキュチキン Sijang-dakalbi & BBQ Chicken,,"(35.7013, 139.7042)"
30,35.7009,139.7022,韓国家庭料理でりかおんどる KOREAN RESTAURANT DELICAONDORU,,"(35.7009, 139.7022)"
57,35.6985,139.7026,とんちゃんデリバリー Tonchang delivery,,"(35.6985, 139.7026)"
59,35.7012,139.7006,第５回神田カレーグランプリ金賞　上等カレー 新大久保 Joto Curry Shin-Okubo,4.5,"(35.7012, 139.7006)"
141,35.6985,139.7038,ホシギ２羽チキン 2号店 Hosigi TwoChicken Second Store,,"(35.6985, 139.7038)"
13,35.7106,139.712,スープリゾットとポテトフライ専門店 ゾットさん 高田馬場店,4.5,"(35.7106, 139.712)"
44,35.7137,139.7047,マクドナルド 高田馬場駅前店 McDonald's Takadanobaba,4.8,"(35.7137, 139.7047)"
45,35.7121,139.6996,ケンタッキーフライドチキン高田馬場四丁目店,4.6,"(35.7121, 139.6996)"
47,35.7107,139.7117,『櫻井・有吉 THE夜会で話題』極太麻婆春雨 高田馬場店,4.4,"(35.7107, 139.7117)"
52,35.7122,139.6996,つけ蕎麦 安土 高田馬場本店 Tsukesoba Aduchi,,"(35.7122, 139.6996)"
55,35.7291,139.6839,極上生カルボナーラ専門店　はらぺこ黄金パスタ　東長崎店,,"(35.7291, 139.6839)"
70,35.7137,139.7047,マクドナルド 高田馬場駅前店 McDonald's Takadanobaba,4.8,"(35.7137, 139.7047)"
127,35.7328,139.7005,ほっともっとグリル 要町店,4.6,"(35.7328, 139.7005)"
143,35.702,139.6947,キッチンオリジン 大久保店 Kitchen Origin Okubo,4.4,"(35.702, 139.6947)"
145,35.7154,139.7055,りんご飴専門店 AppleSugar-本店-高田馬場店,4.7,"(35.7154, 139.7055)"
33,35.7024,139.6955,ドミノ・ピザ 大久保店 Domino's Pizza Okubo Store,4.7,"(35.7024, 139.6955)"
37,35.7017,139.6982,から好し 大久保店 Karayoshi Okubo,4.7,"(35.7017, 139.6982)"
41,35.7072,139.6943,ピザハット 小滝橋店 Pizza Hut OTAKIBASHI,4.9,"(35.7072, 139.6943)"
51,35.7225,139.6768,大盛無料!!【極み塩つけ麺】つけ麺 涼花,,"(35.7225, 139.6768)"
85,35.7135,139.7036,餃子の王将 高田馬場,4.6,"(35.7135, 139.7036)"
127,35.6983,139.6975,吉野家 北新宿百人町,4.7,"(35.6983, 139.6975)"
131,35.6952,139.7017,Pearl Lady 新宿東宝ビル店,4.7,"(35.6952, 139.7017)"
138,35.6952,139.7001,スープストック トーキョー西武新宿店 Soup Stock Tokyo Seibu Shinjuku,4.8,"(35.6952, 139.7001)"
10,35.7225,139.6768,【最高金賞受賞】ケンティのからあげ 中野店,4.4,"(35.7225, 139.6768)"
18,35.6928,139.6954,サブウェイ 新宿野村ビル店 SUBWAY Shinjuku Nomura Building,4.7,"(35.6928, 139.6954)"
21,35.7014,139.6996,マクドナルド 新大久保店 McDonald's SHIN-OHKUBO,4.7,"(35.7014, 139.6996)"
46,35.6941,139.7015,鶏あえずタンパク 歌舞伎町店 Chicken & Protein Kabukityou,4.6,"(35.6941, 139.7015)"
53,35.7225,139.6768,【最強パワーめし！】肉飯ガーリック!! 中野店,,"(35.7225, 139.6768)"
59,35.6826,139.7023,てけてけ 代々木店 Teketeke YOYOGITENN,,"(35.6826, 139.7023)"
63,35.7014,139.6996,マクドナルド 新大久保店 McDonald's SHIN-OHKUBO,4.7,"(35.7014, 139.6996)"
84,35.7016,139.7001,吉野家 新大久保駅前店  Yoshinoya SHINOKUBO-EKIMAE,4.8,"(35.7016, 139.7001)"
121,35.6923,139.6987,ゴンチャ 新宿西口ハルク店 Gong Cha Shinjuku Nishiguchi HALC,4.8,"(35.6923, 139.6987)"
134,35.7091,139.6951,春ちゃん手作り餃子点心 Handmade GYOZA Haruchan,,"(35.7091, 139.6951)"
135,35.707,139.6827,ピッツェリアチーロ東中野店　Pizzeria Ciro Higashi Nakano store,,"(35.707, 139.6827)"
137,35.7015,139.7022,焼肉製作所 チョルドゥンノム Yakiniku Seisakujyo Cholddunom,4.5,"(35.7015, 139.7022)"
139,35.7013,139.7009,明洞ちびのり巻 myondong chibi norimaki,4.6,"(35.7013, 139.7009)"
142,35.7017,139.6981,千里香 Senrikou,,"(35.7017, 139.6981)"
62,35.7043,139.6973,ローソン 百人町二丁目,4.7,"(35.7043, 139.6973)"
71,35.7124,139.7048,バーガーキング 高田馬場店 Burger King TAKADANOBABA,4.7,"(35.7124, 139.7048)"
83,35.7043,139.6973,ローソン 百人町二丁目,4.7,"(35.7043, 139.6973)"
133,35.7156,139.6945,タピオカ三太子 Tapioca Santaizu,,"(35.7156, 139.6945)"
136,35.7017,139.6957,周黒鴨（ツォヘイヤー） 大久保店 Zhouheiya Okubo,,"(35.7017, 139.6957)"
138,35.7108,139.6847,夢庵 落合駅前店 Yumean Ochiai Ekimae,4.6,"(35.7108, 139.6847)"
142,35.7072,139.6943,ピザハット 小滝橋店 Pizza Hut OTAKIBASHI,4.9,"(35.7072, 139.6943)"
23,35.7366,139.6735,ステーキマックス江古田店 ＳｔｅａｋＭＡＸ　ｉｎ　Ｅｃｏｄａ,,"(35.7366, 139.6735)"
25,35.714,139.706,ドミノ・ピザ 高田馬場店 Domino's Pizza Takadanobaba Store,4.5,"(35.714, 139.706)"
32,35.7122,139.7046,ケンタッキーフライドチキン 高田馬場店 KFC,4.7,"(35.7122, 139.7046)"
45,35.7146,139.7034,しゃぶしゃぶ温野菜 高田馬場店 Shabushabu Onyasai Takadanobaba,,"(35.7146, 139.7034)"
60,35.7121,139.7042,ローソン 高田馬場駅通,4.6,"(35.7121, 139.7042)"
64,35.7121,139.7042,ローソン 高田馬場駅通,4.6,"(35.7121, 139.7042)"
70,35.7015,139.6983,すき家 大久保百人町店 Sukiya Okubo-Hyakunincho,4.6,"(35.7015, 139.6983)"
133,35.7019,139.6969,サライケバブ 大久保駅前店 SARAY KEBAB Okubo Station,,"(35.7019, 139.6969)"
139,35.73,139.7073,中国家庭料理楊２号店 chinese family cooking,,"(35.73, 139.7073)"
141,35.7122,139.7046,ケンタッキーフライドチキン 高田馬場店 KFC,4.7,"(35.7122, 139.7046)"
53,35.7014,139.7006,ホイチャ HOICHA,,"(35.7014, 139.7006)"
141,35.6984,139.7037,新宿飯店 Shinjuku Hanten,,"(35.6984, 139.7037)"
52,35.6923,139.6987,ゴンチャ 新宿西口ハルク店 Gong Cha Shinjuku Nishiguchi HALC,4.8,"(35.6923, 139.6987)"
89,35.7289,139.7124,ゴーゴーカレー 池袋東口スタジアム店 GoGoCurry IKEBUKURO-HIGASHIGUCHI STADIUM,4.7,"(35.7289, 139.7124)"
92,35.7296,139.7142,ロッテリア 池袋東口店 LOTTERIA Ikebukuro Higashiguchi,4.5,"(35.7296, 139.7142)"
122,35.7305,139.7128,フロプレステージュ 池袋ショッピングパーク店 FLO PRESTIGE Ikebukuro Shopping Park,4.7,"(35.7305, 139.7128)"
14,35.7288,139.7125,しゃぶしゃぶ温野菜 池袋西武口店,4.5,"(35.7288, 139.7125)"
36,35.7266,139.7114,しゃぶしゃぶどん亭 池袋東口店,4.4,"(35.7266, 139.7114)"
39,35.7116,139.7045,やきとりセンター 高田馬場戸山口店 Yakitori Center Takadanobaba Toyamaguchi,,"(35.7116, 139.7045)"
54,35.7323,139.7057,Dr.Smoothie 池袋店,,"(35.7323, 139.7057)"
69,35.7107,139.7117,カレーハウス CoCo壱番屋 新宿早稲田通 Curry House CoCo Ichibanya Shinjuku Wasedatori,4.7,"(35.7107, 139.7117)"
138,35.7329,139.7114,四季香本館 Shikikou,,"(35.7329, 139.7114)"
31,35.7138,139.705,石庫門 高田馬場店 Sekkomon Takadanobaba,4.8,"(35.7138, 139.705)"
43,35.7123,139.7073,悠茶 高田馬場店 Yuucha Takadanobaba Store,,"(35.7123, 139.7073)"
45,35.7157,139.7104,マシッソチキン＆トッポッキ,,"(35.7157, 139.7104)"
