,lat,lng,title,rating,coordinate
67,35.7066,139.7751,大戸屋ごはん処 御徒町南口店,4.7,"(35.7066, 139.7751)"
68,35.6877,139.7725,クリスプ・サラダワークス コレド室町テラス店 CRISP SALAD WORKS COREDO Muromachi Terrace,4.7,"(35.6877, 139.7725)"
69,35.6931,139.7716,餃子の王将 神田東口,4.6,"(35.6931, 139.7716)"
70,35.6905,139.7786,カレーハウス CoCo壱番屋 中央区小伝馬町 Curry House CoCo Ichibanya Chuoku-Kodenmacho,4.7,"(35.6905, 139.7786)"
71,35.6735,139.7605,添好運（ティム・ホー・ワン） 日比谷店 Tim Ho Wan Hibiya,4.8,"(35.6735, 139.7605)"
72,35.7059,139.7744,蒙古タンメン中本 御徒町店 Moukotanmen Nakamoto Okachimachi,,"(35.7059, 139.7744)"
73,35.6794,139.7618,クリスプ・サラダワークス丸の内店 CRISP SALAD WORKS Marunouchi,4.8,"(35.6794, 139.7618)"
74,35.6774,139.7693,クリスピーチキンアンドトマト 京橋店 CRISPY CHICKEN n' TOMATO Kyobashi,4.4,"(35.6774, 139.7693)"
75,35.6921,139.7716,はなまるうどん 神田駅前店 Hanamaru Udon KANDA EKIMAE,4.8,"(35.6921, 139.7716)"
76,35.7,139.7631,ロッテリア お茶の水駅前店 LOTTERIA Ochanomizu Ekimae,4.6,"(35.7, 139.7631)"
77,35.6704,139.7597,筋肉食堂銀座コリドー店 kinnikushokudou ginzakorido-ten,,"(35.6704, 139.7597)"
78,35.6858,139.783,人形町麻辣湯（新宿麻辣湯人形町店）,4.6,"(35.6858, 139.783)"
79,35.6676,139.7597,俺のやきとり 銀座9丁目店 Oreno Yakitori Ginza 9Chome,4.4,"(35.6676, 139.7597)"
80,35.6668,139.7689,ゴゴノイーツ gogono eats,,"(35.6668, 139.7689)"
81,35.6909,139.771,ゴーゴーカレー 神田駅南口パ－ク GoGoCurry KANDAEKI MINAMIGUCHI PARK,,"(35.6909, 139.771)"
82,35.6907,139.7723,かつや 神田東口店 Katsuya KANDA HIGASHIGUCHI,4.7,"(35.6907, 139.7723)"
83,35.6708,139.7651,春水堂 銀座店 Chunshuitang Ginza,,"(35.6708, 139.7651)"
